string,matches_regex
badacbbccaadbbc,1
adbcdbabdabbacd,0
ccccaabdbbbbabd,0
cdcabadacdcbcca,1
dbbabdbddbbadac,1
cbddcacccaaccbb,0
adcdacccbbbadac,1
dadbdcbcbdadabc,0
cdadbdadbddacbc,0
abadaccddaabdaa,1
ccbddbccabadacc,1
abadacbbabdaabb,1
cbadacbcccdaaad,1
adbbadacdddbdba,1
ccddcbdbcddabba,0
cdcbbcbadacccbd,1
babadaccbbccdbd,1
abadbadacdccaaa,1
aaabbacbbbcadba,0
cbcabdddbcbcbbc,0
cdcccabacbcdaaa,0
cadadadddbbadac,1
cabacdbdacdacad,0
baadabdcbdabcaa,0
dccadcabadaccda,1
bbaadbcdbadacac,1
bcabcddbacadbcd,0
cbcbcccdcddbaba,0
dcddaabdabbacdb,0
addcdbaacbbadac,1
abbbacdcabdddbd,0
abadacbdadabcdd,1
dbcbadacacabddd,1
bddbadaccbddaad,1
badacbdcdccbdbc,1
aabdbacbdbdccca,0
cacdacdaadccadb,0
cbabbdbdcddcbbc,0
badbdabcabaabcb,0
bcdbddcaddbcdbb,0
ddcbdcccacccdad,0
bcacadcbbadbabb,0
aaaacdccdcabddd,0
cddaaabbbaccbdd,0
dabdabaadcdacbb,0
aacabbcdbbbadac,1
acaabadaadbbbca,0
abbdbddabdbdaaa,0
babcaddccaccdcb,0
bacaadacdacacac,0
ccbdacabaaccbca,0
bcbbcabbaacaccb,0
baccdcbaaadcdaa,0
babcaaaccdabcab,0
abadcdbbcabbabd,0
abdcabccbadacda,1
dcccbcbbacdbabd,0
dccbbbadacbdcac,1
cdabbdcdbaabddd,0
bddbadacbdbbdbc,1
cbadacabbcbcbcd,1
aaaabadaccdadbd,1
cdaaaabacdbbddd,0
dcbabcddccabdbd,0
abdccababdcbadb,0
bcaaaadddacadba,0
cacbaccdcddaddd,0
aabbbaddbddccdc,0
cbadbadacccbdab,1
dbbdbadacccaacd,1
cabaadabdaabcbb,0
addababababcdca,0
bbadacbcacbdddc,1
cccdcdabadacdcb,1
abacabadacbdcbc,1
abdaddbdacbabba,0
cccdbcdcbbbadac,1
baccbdadcdaddcb,0
baabadacbbbbdbd,1
abdacddbdcddcdd,0
ddaabddaaabadad,0
dcbbbaacdaaaadc,0
ccbdbbdbbcddadd,0
abbbbdaababdbba,0
abaabdccddbadca,0
addbdbabadacdcc,1
aacbbadacacddad,1
babbbadacdabcad,1
bbcccacccdcddcc,0
caadadbbcdbadac,1
ccbcbcaddbadacd,1
ddddbdacabadacc,1
bbbbbadacacdddc,1
aabacbadacbdbca,1
babbaddaddcddba,0
bacddbaaabbdcac,0
caabadacdbacbac,1
cbdabdddcdbbdab,0
adbbbadaccccbba,1
babacdbcacdadca,0
ddbbbddbadacbac,1
dbacdbbadaccdbc,1
ccbadacabbddcca,1
dcbbdaaaabbacdd,0
ccdbabbabdcadab,0
adcabdbabdbbbdd,0
dddcaccdbadcadb,0
badacaaabadadad,1
bbbadacbcddbadd,1
accbdcbcdbadaca,1
adddacdaabadbaa,0
dddbcbabdbaabac,0
ccadbcaacbadacb,1
cbbadacabcdddac,1
dbbcbacbcccbcaa,0
dbadcaccbcbadac,1
bbcccdabcbbadac,1
daabaddcbadacdb,1
dcabadcbadacdad,1
acdcbdadabadacc,1
acbbbdadbddadda,0
dcddddccadaaadd,0
ddccadacbadacdd,1
bbadaccbcbcbaaa,1
cbccbbadaccaddd,1
dbacbbabddccdbc,0
bbacdcdbadcdaad,0
cccbdabadacddcd,1
adbcbabadaababc,0
bdbadacbcabcddb,1
abaacdcbadacaab,1
caacdbaabbadacb,1
ddcbacaddbadaca,1
bbbcdabadacbabd,1
cbbdcdcaacabaad,0
bcdaadbadaccada,1
bcdccbaadabadac,1
cbabcabdbadacaa,1
dbbbbadacddbbcc,1
dabcdcabadacbdb,1
dadbadacaadbcbb,1
abddcddcbadacda,1
abbccabadacdabd,1
abdacaadadabdab,0
cdaabdbacbdaaad,0
dacdbadacdcbdad,1
ddccaaabddcdbba,0
abcaddbadaccccd,1
dcccdbacccbdabb,0
cbadacaadabcacc,1
cccbcbbbadacdab,1
aaccdbadacccdca,1
cdbadacdbcccbbc,1
dadbadacdcdabdd,1
cddacacdcabadac,1
abcbadaccbcbccb,1
aabcbabacabdcca,0
cbacbbadaccdbcb,1
dbbadaccdacbaba,1
aaaacabaaadddca,0
cbdbdadabacdbbc,0
bbddddbbbbadaca,1
cbadaabbbdbccba,0
abbadacbcacdacb,1
dcdcaddaccbcacc,0
bababadaccbddca,1
badacaaccabdbdb,1
cdcbadacbbdaada,1
dbacbcdcbabdcba,0
ddbaadadcbddadc,0
bcddccdcacabbdb,0
dcaaacdbdbcdbcb,0
adbadaaadbcdbca,0
bddcbadacbdccca,1
aabdbaddabddabd,0
ccbbcbccacbadac,1
daacbadacaadcad,1
caadbdbcbadacdb,1
bcbdcdbadacccac,1
cbcbdcdadabadac,1
badacbabddbdbda,1
aacaabdadcbccba,0
bdaaccaadbadacb,1
acbcbbbbadcccca,0
daccaabcbabadac,1
babbbbbaaaddbbb,0
aaabbcaadddccca,0
bbbcdbadacadcdb,1
bcbcaaacbdcacdc,0
dcbbbadacdccadb,1
adbdbacdbbcbdaa,0
dbcadcddcbadacc,1
bbabbbacbcbdcda,0
bbccccabbbadbdb,0
adbaabbabadaccd,1
cbcdccbdacdadaa,0
cadaaabadacabbd,1
aabadaccbcbcadd,1
bccdacdbadaccca,1
bcabcacbdbbbbbd,0
aadccddcbabaadb,0
cabbddbaacccadb,0
dbadacdbcdcbcad,1
cabcdbdcbbddabb,0
acdbabdcccbbaba,0
cdcbabccdcbbcad,0
abadaccbbdbcaba,1
ddadccadadabacb,0
dbdadbdaaddbddd,0
daadbbadbbadacd,1
cdcddbadacbdabc,1
acbbccbaadadabb,0
cdbcdbbdccabbda,0
bdcadacbdbcbaac,0
bcacccabadacdcb,1
accddaadbadacdd,1
ccbdbbddabbaadc,0
cdddbbaddccaabd,0
dadddcdbcccadad,0
aaddabadacccbbd,1
ddbabbbbbdbcbdd,0
aabadacdbbcbacb,1
ddbccabadacddba,1
baadaadcbadacad,1
caaddbacddbbbcc,0
aabbadacdacbacc,1
accddbdbadaccad,1
bbcccacccccddcc,0
cacbbbbcbccabcd,0
abcbbadacbbdcab,1
ddacdbcbbddddbc,0
ddccbadcadbadcc,0
adcabadacdacbcd,1
aabbabdaccaabbd,0
abbccaadaabbdcc,0
bbdbdbdbbcbadac,1
ccaadcbccbddadc,0
caaabdddbdccaad,0
aaacddddabadacb,1
bccacaadbddcdcd,0
acdbcdadaacbdcc,0
dddbdcdcbabadbd,0
badaccaabdbbbbd,1
acadaccdacabddc,0
badacdabcdccddc,1
dbaaabadacbdbaa,1
acdbcadddcaaccd,0
abbdcdddbcccabb,0
bdbbcadaadacbab,0
ccbddbdbcabaaac,0
bdbcdaabadacdbd,1
bccdbadaccadbbc,1
badacdbccdaddbb,1
dacaddaabacacca,0
bbdabdadadcadac,0
caadbcadbbddcbc,0
adbadacbcbabaab,1
baccbbabadacdbc,1
bbbbbacaadcccbb,0
aadcddaaabadacd,1
acabacbadbbddca,0
babadacabcbdcab,1
cbbcbdddcdccbac,0
bacadacbcccbdbc,0
dbdbbdbaccaddac,0
cacbadaccdddabd,1
cddbabbadacbaac,1
cacadbcccbadacb,1
abadaccbcdadddc,1
bbabcbbadaccbac,1
daaddbcdabacaab,0
bddaaccbaacccdd,0
cabcddbbdbbaadd,0
abdbabadacccbbd,1
ddbbcbbadacddab,1
cccdbaaaabdddcd,0
cdaddbcaabadacc,1
dcbbbabadacacdd,1
cdbbdbbcbbddcdc,0
cdaccbaacdaacdb,0
bbbcdccdddababd,0
cdabaddaaaccbab,0
abbdbacaabdccbd,0
bbabadccabadacd,1
cabcbadacddabab,1
baaaddbcdbbcaad,0
bddbcddbdadbcbb,0
cbadaccbacadbac,1
cdbdbcccabdcdbc,0
ccbccbbadccbcac,0
caccbbbbddddcdb,0
cddccdbdcbabcbb,0
bacbcbadacadbbd,1
bbbcbadaabcdada,0
cbababadbccbadc,0
ccdadbabadacdbb,1
badacbcdbdaadaa,1
cbddacbabadbdac,0
cbbadacccbbaadb,1
bdaccaacdabbaaa,0
abbadbacbddddad,0
bbaaabbcdbbcdab,0
bbcdbaacbcacdab,0
dacababbadacddc,1
cadabbbddbbbaab,0
dccbabcddbcbccb,0
dabaadcabcaaaad,0
acdbdcaccddaaac,0
abadacddbcbddac,1
aabdcbadacbcaaa,1
bcdbaaaabbadacd,1
badacbdcdcbcdbc,1
dbbbbaadbabddac,0
cbdcbcdcdbadacc,1
dabadacacadabcd,1
aabcacbbdbadacc,1
ddaaddadbaadbcd,0
badacddcacadcad,1
aaacdaadbacbdba,0
dcaacbdcdcaaaba,0
babcddbaabbadac,1
adabdddcbddccdd,0
cbbadacaccbccad,1
bcdbbadacdcdbcd,1
