string,matches_regex
badacadaaccccbc,True
cdadccadcddcbcd,False
dcacabadbbadacd,True
acbcdabdabbadac,True
bbbcaacbbdabcdb,False
dddbadacadcddcb,True
bcbacdbadacbaba,True
badacacdabccccc,True
daaabbcdccbaabb,False
adadbbadaccaddc,True
ccaadbbbcabadac,True
cccdacbbccddbdd,False
cbaabaabcdbadac,True
acbadcaacbbadac,True
cdacaddccbcddca,False
cbabbdbbadacacc,True
ddaccddbadacdaa,True
bdadcbcddcddabc,False
dccbbbbaacaccab,False
baaabddbabdccbc,False
dcdbdabdccbadac,True
cabadaccdcddaba,True
bddbdadadaacbac,False
ddcccacabbabcdb,False
cadbcccbbadacad,True
aacdddadbdccacb,False
daadbdcaabbbbda,False
cccbdacdabcbcba,False
dcbbdabadacbadd,True
dbabbcdbacdbabd,False
cadaaacbdcbbddb,False
ccdadbdddaaacda,False
cdcccaaabbcacac,False
adcabadacbddadc,True
aaadaddbbadacac,True
dcdbadcacaacdbd,False
addaabbadacabda,True
acccdacbdcbdcdc,False
bbddddbcdbadacc,True
dbaaccdbadacabc,True
bcaadcacacacdda,False
acdaadbadacbcad,True
cbddbadccbbacdd,False
abdcdbcdcbddbba,False
ddbbbddbcbbadac,True
adbadacacbabadc,True
bcdddcbdbcbadac,True
dcdcabcabbcdbab,False
cbadacadbdbadaa,True
dbaccadaabdcccb,False
aaaccaaacbbbbaa,False
bddbadacadcdcac,True
aacdbbcbaadbaab,False
badccbbbadacbbc,True
bddaaccbadacaba,True
ddccabbcacdbdca,False
cccaacbdddaaabb,False
ababbbbbcbdaabb,False
badbadacbddccac,True
aacbbdbacdbabbd,False
dcacbabdabadacb,True
bbadacddbcddcdc,True
ccbadacdcadaabc,True
cdbddabdacbadac,True
abcadbbbcddcbda,False
acbdbadacadcabd,True
ddddcbdbbdbadac,True
bdcabadaccdacbc,True
bdabaabbdcbacad,False
bbadacdcccacbbb,True
dacbaaabbaabcca,False
badacbcdbcddddc,True
ccbddbcacdbbcaa,False
aadaabadacacbad,True
badddcdbbdcabac,False
cccababcbdaccba,False
abbcadddcadddad,False
dcadabadacaabaa,True
bbadacaabadbcdb,True
abbacabdbcbbdcc,False
dbadacdabdbcbac,True
ddcddbbbadacdbb,True
dbbaabddcdbbcda,False
dbadcbddbbbacbd,False
bcadcadbcbbbdcb,False
abbdbddcbdbcacb,False
dbadacbabcdcacb,True
cdcaabadacddbda,True
dbbadacaccabcad,True
adcbadcaadbcadc,False
ccddcdadabadacb,True
abdbcaacaaacddb,False
dadccacacbcdabd,False
badacdbcbbdaabc,True
dcbadbcbcdccbcb,False
ccdbcddbaddabdd,False
cbddcccbadacacb,True
dddbbabdcbbdccb,False
daacdcaababcccd,False
dacdcccbadaadad,False
abdcdabbdabadac,True
bbadacddccabbbd,True
dcabbacbadacbcc,True
abadaacbadacdba,True
dbcbaaaaaacdadc,False
aaababbcdabbcdb,False
adcdabacbccbbca,False
abcccdabdbbabdc,False
ddbbbbacddaacab,False
badacadcabdddcc,True
cbaacddabbdcbcd,False
cdbbadacdbcbbaa,True
abbadaccadbaacd,True
bbadacaabbbcbda,True
dcaabadaccadadc,True
bddccddccaabacb,False
cccbbbcddbadaca,True
cadcabdaadcbbcc,False
bddbbdadcdbadac,True
cbbabcaccbadacc,True
aabcadabdbdbccd,False
acadbbabbaddacd,False
bcaaadacbdbbacb,False
bddacccdcddcacb,False
badacdbdcdbccdc,True
cbcccddaaabbaac,False
bddbadbadacbacc,True
bcbcbadacbbddcd,True
cdadabadacacbdd,True
bbbaadacbbadacc,True
dbdcdbadaccdcaa,True
ccddbcaadbbbbad,False
dcabbcdbadacaab,True
dcccccddcdadbba,False
dbccdacbcbdabcd,False
dbcbcacdbdcadcd,False
cccddddbbadacdb,True
abcacddbcdcadac,False
aabdbcadaabcaad,False
bdbacaabbabdbca,False
ddddbadaccdddad,True
bcadcbdddaaabcc,False
aabaacccaaaaacd,False
abaabbbdbbbbdcd,False
bbcdbbaabadacdc,True
bdbbbddabaadcba,False
abadaccdabacadc,True
